benchmark,task_id,model_name,side_effect,suboptimal,looping,success,n_steps,error_rate,repeat_rate,max_consec_norm,obs_tokens_per_step,obs_tokens_present,n_step_records,n_actions,path_json_mismatch
assistantbench,assistantbench.improved.validation.18,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,30,0.0,0.6,0.0333333333333333,120830.8,1,31,30,0
assistantbench,assistantbench.improved.validation.18,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,1.0,17,0.0,0.1176470588235294,0.0588235294117647,269038.64705882355,1,18,17,0
assistantbench,assistantbench.improved.validation.18,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,4,0.0,0.0,0.25,139308.25,1,5,4,0
assistantbench,assistantbench.improved.validation.18,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,30,0.3666666666666666,0.4,0.0333333333333333,379103.5,1,31,30,0
assistantbench,assistantbench.improved.validation.19,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,30,0.0,0.7666666666666666,0.5333333333333333,141926.13333333333,1,31,30,0
assistantbench,assistantbench.improved.validation.19,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,11,0.0,0.1818181818181817,0.1818181818181818,133110.54545454544,1,12,11,0
assistantbench,assistantbench.improved.validation.19,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,11,0.0,0.2727272727272727,0.0909090909090909,116898.45454545454,1,12,11,0
assistantbench,assistantbench.improved.validation.19,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,10,0.0,0.4,0.1,56200.1,1,11,10,0
assistantbench,assistantbench.improved.validation.2,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,30,0.6666666666666666,0.7,0.5333333333333333,88562.7,1,31,30,0
assistantbench,assistantbench.improved.validation.2,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,1.0,0.0,30,0.0,0.6,0.3333333333333333,237057.36666666667,1,31,30,0
assistantbench,assistantbench.improved.validation.2,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,4,0.0,0.0,0.25,141350.75,1,5,4,0
assistantbench,assistantbench.improved.validation.2,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,5,0.0,0.0,0.2,129625.8,1,6,5,0
assistantbench,assistantbench.improved.validation.20,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,30,0.6333333333333333,0.7666666666666666,0.6333333333333333,96027.6,1,31,30,0
assistantbench,assistantbench.improved.validation.20,GenericAgent-anthropic_claude-3.7-sonnet,0.0,0.0,0.0,1.0,8,0.125,0.0,0.125,154045.5,1,9,8,0
assistantbench,assistantbench.improved.validation.20,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,1.0,9,0.2222222222222222,0.0,0.1111111111111111,165987.77777777778,1,10,9,0
assistantbench,assistantbench.improved.validation.20,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.7666666666666666,0.3666666666666666,166652.8,1,31,30,0
assistantbench,assistantbench.improved.validation.21,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,30,0.3333333333333333,0.6666666666666667,0.2333333333333333,109881.76666666666,1,31,30,0
assistantbench,assistantbench.improved.validation.21,GenericAgent-anthropic_claude-3.7-sonnet,0.0,0.0,0.0,1.0,19,0.0,0.0,0.0526315789473684,280745.5789473684,1,20,19,0
assistantbench,assistantbench.improved.validation.21,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,1.0,8,0.0,0.0,0.125,250909.125,1,9,8,0
assistantbench,assistantbench.improved.validation.21,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,5,0.0,0.0,0.2,103256.8,1,6,5,0
assistantbench,assistantbench.improved.validation.22,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,30,0.0,0.8666666666666667,0.1333333333333333,115553.06666666668,1,31,30,0
assistantbench,assistantbench.improved.validation.22,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,8,0.125,0.0,0.125,107680.875,1,9,8,0
assistantbench,assistantbench.improved.validation.22,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.0,0.3,0.0333333333333333,560678.4333333333,1,31,30,0
assistantbench,assistantbench.improved.validation.22,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,0.0,0.0,1.0,4,0.25,0.0,0.25,150026.5,1,5,4,0
assistantbench,assistantbench.improved.validation.23,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,30,0.4666666666666667,0.6666666666666667,0.0333333333333333,103572.43333333332,1,31,30,0
assistantbench,assistantbench.improved.validation.23,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,7,0.0,0.0,0.1428571428571428,129503.71428571428,1,8,7,0
assistantbench,assistantbench.improved.validation.23,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.0666666666666666,0.1999999999999999,0.0333333333333333,311312.5,1,31,30,0
assistantbench,assistantbench.improved.validation.23,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,5,0.4,0.0,0.2,146714.0,1,6,5,0
assistantbench,assistantbench.improved.validation.24,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,30,0.5,0.7,0.0666666666666666,93591.43333333332,1,31,30,0
assistantbench,assistantbench.improved.validation.24,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,1.0,0.0,30,0.4666666666666667,0.3333333333333333,0.0666666666666666,77106.56666666667,1,31,30,0
assistantbench,assistantbench.improved.validation.24,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.5,0.6,0.1666666666666666,100873.1,1,31,30,0
assistantbench,assistantbench.improved.validation.24,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,4,0.0,0.0,0.25,164481.0,1,5,4,0
assistantbench,assistantbench.improved.validation.25,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,30,0.7333333333333333,0.7,0.1,83009.9,1,31,30,0
assistantbench,assistantbench.improved.validation.25,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,6,0.0,0.0,0.1666666666666666,131187.0,1,7,6,0
assistantbench,assistantbench.improved.validation.25,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,4,0.0,0.0,0.25,126805.25,1,5,4,0
assistantbench,assistantbench.improved.validation.25,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,4,0.0,0.0,0.25,136485.25,1,5,4,0
assistantbench,assistantbench.improved.validation.26,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,28,0.0,0.7857142857142857,0.1428571428571428,128204.85714285714,1,29,28,0
assistantbench,assistantbench.improved.validation.26,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,7,0.0,0.0,0.1428571428571428,128705.42857142857,1,8,7,0
assistantbench,assistantbench.improved.validation.26,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,9,0.1111111111111111,0.3333333333333333,0.4444444444444444,281657.8888888889,1,10,9,0
assistantbench,assistantbench.improved.validation.26,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,5,0.4,0.0,0.2,198520.6,1,6,5,0
assistantbench,assistantbench.improved.validation.27,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.6666666666666666,0.7,0.1333333333333333,86205.36666666667,1,31,30,0
assistantbench,assistantbench.improved.validation.27,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,8,0.0,0.0,0.125,119913.125,1,9,8,0
assistantbench,assistantbench.improved.validation.27,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,4,0.0,0.0,0.25,127935.0,1,5,4,0
assistantbench,assistantbench.improved.validation.27,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.4666666666666667,0.4,224723.7333333333,1,31,30,0
assistantbench,assistantbench.improved.validation.28,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.1,0.5,0.2333333333333333,964023.7666666668,1,31,30,0
assistantbench,assistantbench.improved.validation.28,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,7,0.0,0.0,0.1428571428571428,121042.71428571428,1,8,7,0
assistantbench,assistantbench.improved.validation.28,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.1,0.5,0.2666666666666666,639693.9,1,31,30,0
assistantbench,assistantbench.improved.validation.28,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.8666666666666667,0.9,328714.3,1,31,30,0
assistantbench,assistantbench.improved.validation.29,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.6666666666666667,0.0666666666666666,148751.0,1,31,30,0
assistantbench,assistantbench.improved.validation.29,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,25,0.0,0.24,0.12,89317.44,1,26,25,0
assistantbench,assistantbench.improved.validation.29,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.1666666666666666,0.6,0.2333333333333333,258759.2333333333,1,31,30,0
assistantbench,assistantbench.improved.validation.29,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,16,0.0,0.375,0.1875,127740.0625,1,17,16,0
assistantbench,assistantbench.improved.validation.3,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,0.0,0.0,30,0.0,0.8333333333333334,0.0333333333333333,144504.6,1,31,30,0
assistantbench,assistantbench.improved.validation.3,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,6,0.0,0.0,0.1666666666666666,121837.5,1,7,6,0
assistantbench,assistantbench.improved.validation.3,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.0,0.8666666666666667,0.3,159866.6,1,31,30,0
assistantbench,assistantbench.improved.validation.3,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.4333333333333333,0.0666666666666666,115596.4,1,31,30,0
assistantbench,assistantbench.improved.validation.30,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.8333333333333334,0.1333333333333333,139201.23333333334,1,31,30,0
assistantbench,assistantbench.improved.validation.30,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,7,0.0,0.0,0.1428571428571428,125673.14285714286,1,8,7,0
assistantbench,assistantbench.improved.validation.30,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,1.0,16,0.125,0.5625,0.625,52846.25,1,17,16,0
assistantbench,assistantbench.improved.validation.30,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,24,0.5833333333333334,0.4166666666666666,0.2083333333333333,30816.83333333333,1,25,24,0
assistantbench,assistantbench.improved.validation.31,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.7,0.0333333333333333,151339.1,1,31,30,0
assistantbench,assistantbench.improved.validation.31,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,8,0.0,0.0,0.125,126447.0,1,9,8,0
assistantbench,assistantbench.improved.validation.31,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.0333333333333333,0.8333333333333334,0.0333333333333333,117729.63333333332,1,31,30,0
assistantbench,assistantbench.improved.validation.31,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,4,0.0,0.0,0.25,171673.75,1,5,4,0
assistantbench,assistantbench.improved.validation.32,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,21,0.238095238095238,0.6666666666666667,0.238095238095238,96180.71428571428,1,22,21,0
assistantbench,assistantbench.improved.validation.32,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,14,0.5714285714285714,0.1428571428571429,0.0714285714285714,56379.42857142857,1,15,14,0
assistantbench,assistantbench.improved.validation.32,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.3666666666666666,0.2666666666666667,0.2333333333333333,1167324.2666666666,1,31,30,0
assistantbench,assistantbench.improved.validation.32,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,30,0.1666666666666666,0.1999999999999999,0.1,983804.2333333332,1,31,30,0
assistantbench,assistantbench.improved.validation.4,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.8,0.1333333333333333,130951.13333333332,1,31,30,0
assistantbench,assistantbench.improved.validation.4,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,9,0.0,0.0,0.1111111111111111,124807.22222222222,1,10,9,0
assistantbench,assistantbench.improved.validation.4,GenericAgent-gpt-4o-2024-11-20,0.0,0.0,0.0,1.0,5,0.2,0.0,0.2,189210.8,1,6,5,0
assistantbench,assistantbench.improved.validation.4,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,1.0,12,0.0833333333333333,0.3333333333333333,0.25,200174.25,1,13,12,0
assistantbench,assistantbench.improved.validation.5,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.4333333333333333,0.6666666666666667,0.0666666666666666,101230.9,1,31,30,0
assistantbench,assistantbench.improved.validation.5,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,7,0.0,0.0,0.1428571428571428,120777.57142857143,1,8,7,0
assistantbench,assistantbench.improved.validation.5,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,4,0.0,0.0,0.25,126635.0,1,5,4,0
assistantbench,assistantbench.improved.validation.5,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,30,0.7333333333333333,0.6666666666666667,0.4,439806.9,1,31,30,0
assistantbench,assistantbench.improved.validation.6,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.7666666666666666,0.0666666666666666,128302.73333333334,1,31,30,0
assistantbench,assistantbench.improved.validation.6,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,6,0.0,0.0,0.1666666666666666,132346.0,1,7,6,0
assistantbench,assistantbench.improved.validation.6,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,10,0.2,0.1999999999999999,0.3,74533.6,1,11,10,0
assistantbench,assistantbench.improved.validation.6,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,13,0.0,0.4615384615384615,0.0769230769230769,58449.07692307692,1,14,13,0
assistantbench,assistantbench.improved.validation.7,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.8333333333333334,0.8,0.8333333333333334,77919.83333333333,1,31,30,0
assistantbench,assistantbench.improved.validation.7,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,1.0,0.0,30,0.3,0.4666666666666667,0.0333333333333333,52699.833333333336,1,31,30,0
assistantbench,assistantbench.improved.validation.7,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.7,0.6,0.0333333333333333,39679.76666666667,1,31,30,0
assistantbench,assistantbench.improved.validation.7,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,6,0.3333333333333333,0.0,0.1666666666666666,105405.0,1,7,6,0
assistantbench,assistantbench.improved.validation.8,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.7333333333333333,0.7,0.7333333333333333,83234.9,1,31,30,0
assistantbench,assistantbench.improved.validation.8,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,30,0.3666666666666666,0.0666666666666666,0.0333333333333333,133480.43333333332,1,31,30,0
assistantbench,assistantbench.improved.validation.8,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.2,0.4666666666666667,0.0333333333333333,129582.4,1,31,30,0
assistantbench,assistantbench.improved.validation.8,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,0.0,0.0,7,0.0,0.0,0.1428571428571428,119919.28571428572,1,8,7,0
assistantbench,assistantbench.improved.validation.9,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,0.0,1.0,1.0,0.0,30,0.0,0.5666666666666667,0.0333333333333333,127638.96666666666,1,31,30,0
assistantbench,assistantbench.improved.validation.9,GenericAgent-anthropic_claude-3.7-sonnet,0.0,1.0,0.0,0.0,8,0.0,0.0,0.125,126725.75,1,9,8,0
assistantbench,assistantbench.improved.validation.9,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,4,0.25,0.0,0.25,124961.5,1,5,4,0
assistantbench,assistantbench.improved.validation.9,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,0.0,1.0,1.0,0.0,30,0.9,0.7333333333333334,0.0666666666666666,345303.5333333333,1,31,30,0
visualwebarena,visualwebarena.102,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,1.0,0.0,30,0.0666666666666666,0.8666666666666667,0.0333333333333333,19484.266666666663,1,31,30,0
visualwebarena,visualwebarena.118,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,2,0.0,0.0,0.5,18518.0,1,3,2,0
visualwebarena,visualwebarena.120,GenericAgent-gpt-4o-2024-11-20,0.0,0.0,0.0,1.0,2,0.0,0.0,0.5,18878.5,1,3,2,0
visualwebarena,visualwebarena.125,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,4,0.0,0.0,0.25,16645.5,1,5,4,0
visualwebarena,visualwebarena.133,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,18,0.1111111111111111,0.2777777777777778,0.3333333333333333,20931.055555555555,1,19,18,0
visualwebarena,visualwebarena.134,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,30,0.0,0.7,0.1666666666666666,24805.033333333333,1,31,30,0
visualwebarena,visualwebarena.141,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,1.0,30,0.0333333333333333,0.7666666666666666,0.1,23784.93333333333,1,31,30,0
visualwebarena,visualwebarena.149,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,0.0,2,0.0,0.0,0.5,24053.5,1,3,2,0
visualwebarena,visualwebarena.159,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,1.0,4,0.0,0.0,0.25,99008.75,1,5,4,0
visualwebarena,visualwebarena.160,GenericAgent-gpt-4o-2024-11-20,0.0,1.0,0.0,1.0,4,0.0,0.0,0.25,16029.5,1,5,4,0
